No.;Time;Comment;Scramble;Date;P.1
4480;27.94;;U' B2 L2 D' B2 R2 B2 D U2 R2 B D B' R' F' R F2 D' F;2020-11-19 06:59:34;27.94
4481;22.02;;U R2 B R2 F' L2 R2 F D2 L2 B2 U2 L' D R D2 B D' B' U;2020-11-19 07:01:02;22.02
4482;24.66;;B2 U B' U' F2 D' L' D2 R2 U2 L2 F2 D2 B U2 F D2 L2 F L;2020-11-19 07:01:58;24.66
4483;22.54;;D' F2 U' F2 L2 D' F2 U2 F2 U' L F D' U' B' U2 R2 B' L R';2020-11-19 07:06:50;22.54
4484;27.86;;U' B' R L2 B2 U D' L F' L B2 L F2 B2 D2 L F2 R F2 U2;2020-11-19 07:07:30;27.86
4485;24.34;;U F2 L2 U B2 F2 D2 F2 L2 F2 B' L' F D' F' D F U2 L D2;2020-11-19 07:08:31;24.34
4486;22.56;;F2 L2 D' B2 U' B2 R2 D' R2 D' R2 B2 F' R B' U L' D2 B L D;2020-11-19 07:10:10;22.56
4487;25.37;;R2 U2 B2 L B2 R2 D2 F2 R2 D2 U2 R' F D' R' U2 B U F2 D F;2020-11-19 07:11:04;25.37
4488;19.37;;D' F2 U2 F2 L2 D' L2 D' R2 D' B L' B2 L' R' U L' R2 B' D';2020-11-19 07:11:57;19.37
4489;18.30;;B2 U2 F R2 U L2 D' L2 U F2 D' U' B2 R F U2 B F L R;2020-11-19 07:12:35;18.30
4490;29.55;;R L2 B L' F B' D' B2 R' D2 F' B' R2 U2 F' L2 D2 R2 B L2;2020-11-19 07:13:21;29.55
4491;19.59;;F2 U2 R2 U2 B' R2 F' U2 R2 F2 R2 L' U' B2 R' F U B' F' L U;2020-11-19 07:14:11;19.59
4492;22.13;;D2 R2 F2 L2 R B2 L D2 U2 R' U F' L2 B' F2 D F2 D2 F2;2020-11-19 07:14:55;22.13
4493;17.13;;L2 B2 F2 U R2 D' F2 R2 U L2 R2 F' R2 F' L' D R2 F' U' B;2020-11-19 07:15:38;17.13
4494;22.61;;R' B2 F2 U2 R2 U' L2 D R2 D' U' B2 U' L' F2 R' U B F' L' F2;2020-11-19 07:16:18;22.61
4495;17.63;;D' B' R L' D2 B' R' D2 F2 U' L2 U R2 B2 U F2 R2 B2 U' B' D2;2020-11-19 07:17:12;17.63
4496;22.01;;F' U' B' R2 U2 B' D2 R2 F' R2 B' L2 F2 L' U R B' D2 F D' U;2020-11-19 07:17:49;22.01
4497;21.53;;L2 F2 U2 F R' U' R B2 R2 F2 U2 R2 D' R2 U' F2 U' R B2;2020-11-19 07:18:24;21.53
4498;20.69;;U R2 B2 R2 B U2 F' U2 L2 F2 U2 F' U2 D L' F' U' F' D' F2 L2;2020-11-19 07:19:05;20.69
4499;18.40;;B2 U' D2 F D2 F D2 R2 B D2 U2 B' U2 B2 R B2 D L U' B F;2020-11-19 07:19:44;18.40
4500;17.37;;F' D F2 R2 D2 R D R2 B R2 L2 B R2 F U2 B U2 F' L2 U';2020-11-19 07:20:26;17.37
4501;29.00;;F' L2 B D2 F U2 B2 D2 B' D2 F R2 L' D' L2 R2 B2 R F R' D;2020-11-19 07:27:23;29.00
4502;27.35;;D' L B2 D2 L2 F2 D R2 D B2 D R2 U' F' D' L' F D B' D R';2020-11-19 07:28:25;27.35
4503;20.66;;L2 F L B2 D' R L2 D2 F' R2 L2 U' B2 D L2 B2 D B2 U;2020-11-19 07:29:24;20.66
4504;27.98;;D' L2 D' F2 R2 D2 R2 D2 L B' R2 D' L2 D F2 D R B';2020-11-19 07:30:06;27.98
4505;22.12;;B2 U2 L' U2 R2 U2 F2 L' U2 L' B2 L' B L2 D' R2 F' D L B R';2020-11-19 07:31:23;22.12
4506;16.92;;D2 R2 F2 R' B2 L' U2 B2 F2 L U2 F2 B L U' L' R B' U L F';2020-11-19 07:32:04;16.92
4507;23.47;;D F R' D2 B' U' B2 L U2 R2 F2 L2 D2 B' R2 B' L2 F D;2020-11-19 07:32:40;23.47
4508;21.41;;R' F2 L2 D' B2 D' R2 D B2 D R2 B2 U L R2 F' L R' U' L' U2;2020-11-19 07:34:09;21.41
4509;21.18;;B' R' D' L2 B2 L2 B2 D L2 B2 U2 L2 D' F' R' F2 L2 F U' L2 R';2020-11-19 07:44:40;21.18
4510;22.68;;B2 U D2 R' L2 F L D B' D' L2 F2 B2 D B2 L2 D2 F2 L2 U' R2;2020-11-19 07:46:18;22.68
4511;15.81;;F' L2 D B D' R2 F' R F' L2 F2 U' F2 U R2 D2 R2 D2 F2 D L2;2020-11-19 07:49:31;15.81
4512;17.25;;U2 R2 F' L2 D2 F R2 F2 L2 F2 U2 R' F L R2 U B' R' D B;2020-11-19 07:50:12;17.25
4513;25.34;;D R D F R B' L' U2 R2 F B L2 F D2 L2 U2 L2 D' L2;2020-11-19 07:57:14;25.34
4514;18.31;;U F2 D' F' L B2 U R F2 B2 R F2 B2 R' F2 R' U2 D' F';2020-11-19 08:24:48;18.31
4515;16.85;;B2 R2 U' L2 D F2 U2 L2 U' L2 U' L D U2 L2 B R B2 U B;2020-11-19 08:26:25;16.85
4516;17.31;;F2 D R2 D B2 D' B2 D R2 F2 R2 L' D B F' U2 R' U2 B U2;2020-11-19 08:27:10;17.31
4517;22.42;;L' F' R B2 L2 F2 U' R2 D B2 U2 F2 R2 U L D L2 U F U L2;2020-11-19 08:34:05;22.42
4518;15.57;;F L2 D L F2 B R' F D' B2 R2 D2 F' L2 B U2 R2 B' R2 F' R2;2020-11-19 08:35:34;15.57
4519;23.13;;L' D B U' F' L' F B2 R' F B L2 F B2 R2 B' U2 R2 D2;2020-11-19 08:36:53;23.13
4520;18.33;;R2 B2 U2 B2 D2 R2 U2 B' D2 U2 B' U2 L' U F R' B2 L' D2 B' D2;2020-11-19 09:55:24;18.33
4521;20.82;;B2 L B D R2 F' B2 U' L' U' L2 U F2 B2 U B2 U F2 B2 U;2020-11-19 09:55:59;20.82
4522;20.21;;F2 D L2 R2 B' D2 F' D2 F' D2 U L D B R' U2 B2 R';2020-11-19 09:56:36;20.21
4523;19.26;;L2 D F2 D' F' R' F' U F' D2 F R2 L2 F U2 B U2 B' U2 B2 L;2020-11-19 09:57:40;19.26
4524;21.86;;F2 L B' L F' U' D B2 L U' L2 B2 D' F2 R2 F2 L2 U2 L2 D;2020-11-19 09:58:26;21.86
4525;14.83;;R D' R U2 R2 D2 F2 L U2 R U2 R' B R' U R2 B' D' L2 B2;2020-11-19 09:59:06;14.83
4526;15.47;;L B2 R2 U2 L' F2 R B2 F2 D2 L' D' B F L' U2 F2 D2 R U' F2;2020-11-19 09:59:36;15.47
4527;19.76;;U' L2 U L2 F2 D2 F2 D2 F2 U' L2 R D F2 U' F' R' D2 B L;2020-11-19 10:00:10;19.76
4528;16.31;;D2 R B2 R B2 D2 R U2 B2 U2 B2 R' U F L' D L F R' U2 F;2020-11-19 10:01:02;16.31
